,id,cnpj
0,743,02055765000154
1,744,16500873000101
2,745,15752145000116
3,746,13303039000120
4,747,67645002000109
5,748,19915068000129
6,749,26524199000140
7,750,15752145000116
8,751,02316886000102
9,752,16500873000101
10,753,26524199000140
11,754,13303039000120
12,755,19915068000129
13,756,13758327000179
14,757,21567593000142
15,758,02055765000154
16,759,16500873000101
17,760,00761025000108
18,761,13758327000179
19,762,13303039000120
20,763,17100522000168
21,764,17100522000168
22,765,16500873000101
23,766,00761025000108
24,767,19915068000129
25,768,03958763000138
26,769,67645002000109
27,770,02316886000102
28,771,19614487000120
29,772,00761025000108
30,773,11594621000167
31,774,09105910000103
32,775,06309791000112
33,776,20496317000178
34,777,17696326000106
35,778,11862730000118
36,779,19806688000120
37,780,06177718000134
38,781,17249593000127
39,782,17310936000111
40,783,10752963000103
41,784,21338820000168
42,792,03958763000138
43,793,13758327000179
44,794,02316886000102
45,795,21567593000142
46,796,20900592000105
47,797,00761025000108
48,798,17100522000168
49,799,67645002000109
50,800,03958763000138
51,801,02055765000154
52,802,21567593000142
53,803,20900592000105
54,804,00761025000108
55,805,17100522000168
56,806,20900592000105
57,807,15752145000116
58,808,26524199000140
59,809,19915068000129
60,810,03958763000138
61,811,67645002000109
62,812,02316886000102
63,813,13758327000179
64,814,02055765000154
65,815,20900592000105
66,816,15752145000116
67,817,26524199000140
68,818,13303039000120
69,819,21567593000142
70,820,02055765000154
71,821,20425201000148
72,822,19915068000129
73,823,13338681000144
74,824,02807570000113
75,825,13303039000120
76,826,20006027000107
77,827,13758327000179
78,828,13446995000160
79,829,13728507000108
80,830,06263989000102
81,831,04176836000100
82,832,10336598000148
83,833,20900592000105
84,834,14499338000144
85,926,16500873000101
86,927,02055765000154
87,928,15752145000116
88,929,03958763000138
89,930,17100522000168
90,941,16500873000101
91,942,17100522000168
92,943,03958763000138
93,944,13758327000179
94,945,67645002000109
95,946,02055765000154
96,1043,16658816000147
97,1044,32912628000150
98,1045,09150883000190
99,1046,18115260000178
100,1047,02055765000154
101,1061,17100522000168
102,1062,20900592000105
103,1063,19915068000129
104,1064,02316886000102
105,1065,02055765000154
106,1066,67645002000109
107,1067,02055765000154
108,1068,02316886000102
109,1069,03958763000138
110,1070,20900592000105
111,1071,17100522000168
112,1088,03833582000185
113,1089,20283234000109
114,1090,26524199000140
115,1091,17100522000168
116,1092,67645002000109
117,1093,02055765000154
118,1094,20936189000136
119,1095,17474286000140
120,1096,07885913000181
121,1097,11041213000188
122,1098,17249593000127
123,1099,18964099000107
124,1100,20114979000136
125,1101,10752963000103
126,1102,21338820000168
127,1103,20620960000161
128,1104,02055765000154
129,1105,21189579000152
130,1106,16868674000142
131,1107,08278827000173
132,1108,10754436000120
133,1109,05868520000134
134,1110,18642714000169
135,1111,11641316000189
136,1112,12500834000145
137,1158,10754436000120
138,1159,16868674000142
139,1160,11862730000118
140,1161,17474286000140
141,1162,20114979000136
142,1163,20900592000105
143,1164,02055765000154
144,1216,17100522000168
145,1217,19915068000129
146,1218,16500873000101
147,1219,15752145000116
148,1220,02055765000154
149,1221,20283234000109
150,1226,03958763000138
151,1227,19915068000129
152,1228,02055765000154
153,1229,67645002000109
154,1230,03958763000138
155,1231,02055765000154
156,1232,16754240000111
157,1233,67645002000109
158,1234,26524199000140
159,1235,15752145000116
160,1236,02055765000154
161,1237,05461367000126
162,1238,02316886000102
163,1246,11862730000118
164,1247,16868674000142
165,1248,20620960000161
166,1249,02316886000102
167,1250,13758327000179
168,1251,02055765000154
169,1252,20900592000105
170,1263,20936189000136
171,1264,11641316000189
172,1265,13758327000179
173,1266,02316886000102
174,1267,20900592000105
175,1268,02055765000154
176,1269,16868674000142
177,1270,10754436000120
178,1271,03833582000185
179,1272,17398129000100
180,1273,19571002000169
181,1274,20900592000105
182,1275,20936189000136
183,1276,02055765000154
184,1277,03833582000185
185,1278,02316886000102
186,1279,19108751000154
187,1280,10754436000120
188,1281,18768894000120
189,1362,02055765000154
190,1363,67645002000109
191,1364,26524199000140
192,1365,02316886000102
193,1366,13758327000179
194,1367,15752145000116
195,1375,58867425000182
196,1376,12500834000145
197,1377,20771494000115
198,1378,15724019000158
199,1379,14499338000144
200,1380,11355397000150
201,1381,10828286000151
202,1382,09581079000166
203,1383,13728507000108
204,1384,20937583000199
205,1385,19915068000129
206,1386,17474286000140
207,1387,02316886000102
208,1388,18012135000132
209,1389,04911656000117
210,1390,00761025000108
211,1391,20620960000161
212,1392,18047298000150
213,1393,21561041000127
214,1394,15013737000116
215,1395,19571002000169
216,1396,02055765000154
217,1972,02055765000154
218,1973,20936189000136
219,1974,11488758000137
220,1975,14016932000137
221,1985,02055765000154
222,1986,14016932000137
223,1987,20425201000148
224,1988,03217016000149
225,2294,19108751000154
226,2295,21564692000170
227,2296,16500873000101
228,2297,02316886000102
229,2298,15013737000116
230,2299,08235765000112
231,2300,16868674000142
232,2301,18642714000169
233,2302,17398129000100
234,2303,03833582000185
235,2304,26524199000140
236,2305,17249593000127
237,2306,17474286000140
238,2307,09581079000166
239,2308,10511935000196
240,2309,18964099000107
241,2310,11641316000189
242,2311,02055765000154
243,2312,26500918000193
244,2313,17201418000160
245,2314,06033741000155
246,2315,13303039000120
247,2316,80779523000117
248,2317,10754436000120
249,2318,20114979000136
250,2319,13303039000120
251,2320,02055765000154
252,2321,21564692000170
253,2322,15292256000197
254,2323,16500873000101
255,2324,21821973000161
256,2325,26524199000140
257,2326,10511935000196
258,2327,12981327000170
259,2328,20620960000161
260,2329,17746935000114
261,2330,17422883000120
262,2331,21735223000177
263,2332,12500834000145
264,2333,19378883000104
265,2334,21338820000168
266,2335,05868520000134
267,2336,17201418000160
268,2337,02316886000102
269,2338,11862730000118
270,2339,26500918000193
271,2340,17474286000140
272,2341,09581079000166
273,2446,15724019000158
274,2447,02055765000154
275,2448,20620960000161
276,2449,26524199000140
277,2450,05868520000134
278,2451,11862730000118
279,2452,21023758000115
280,2453,11686277000136
281,2454,16500873000101
282,2455,21735223000177
283,2456,18905983000170
284,2457,03833582000185
285,2458,10828286000151
286,2459,19915068000129
287,2460,03833582000185
288,2461,19571002000169
289,2462,21023758000115
290,2463,02055765000154
